qid,replica,model,query,mode,parse_ok,parse_error,winner_letter,winner_method,confidence,failure_letters,ranking_letters,ranking_methods,overall_A,overall_B,overall_C,overall_D,overall_E,decision_letter,decision_method,reason,source_file
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,A,stable_text_only,"Both candidates contain identical content about adding action blocks to mailings through the 'Add block' button. However, candidate A presents only the relevant section, while candidate B includes an additional unrelated section header ('Запуск, перезапуск и остановка рассылок') that introduces topic drift without providing additional useful information for the query.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\claude-haiku-4-5-20251001\Q003_1.json
Q003,2,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,A,stable_text_only,"Both candidates contain identical content about adding action blocks to mailings (the 'Добавить блок' button), but Candidate B includes an additional section header 'Запуск, перезапуск и остановка рассылок' that is irrelevant to the query about adding actions to mailing blocks. Candidate A contains only the relevant information without extraneous content.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\claude-haiku-4-5-20251001\Q003_2.json
Q003,3,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,A,stable_text_only,"Both contexts contain identical information about adding action blocks to mailing scenarios through the 'Add block' button. However, candidate B includes an additional section header 'Запуск, перезапуск и остановка рассылок' (Launch, restart and stop mailings) that is irrelevant to the query about adding actions to mailing blocks, introducing topic drift. Candidate A remains focused on the relevant content.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\claude-haiku-4-5-20251001\Q003_3.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,pairwise,1,SALVAGED_FROM_ERROR,,,,,,,,,,,,,,"Оба контекста содержат одинаковую информацию о добавлении блоков действий в сценарий рассылки. Контекст B содержит дополнительный раздел, который не относится к запросу.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\gemini-2.5-flash-lite\Q003_1.json
Q003,2,gemini-2.5-flash-lite,добавление действий в блоки рассылки,pairwise,1,SALVAGED_FROM_ERROR,,,,,,,,,,,,,,"Оба кандидата содержат одинаковую информацию о добавлении блоков действий в сценарий рассылки. Кандидат B содержит дополнительный раздел, который не относится к запросу.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\gemini-2.5-flash-lite\Q003_2.json
Q003,3,gemini-2.5-flash-lite,добавление действий в блоки рассылки,pairwise,1,SALVAGED_FROM_ERROR,,,,,,,,,,,,,,"Оба контекста содержат одинаковую информацию о добавлении блоков действий в сценарий рассылки. Контекст B содержит дополнительный раздел, который не относится к запросу.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\gemini-2.5-flash-lite\Q003_3.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,A,stable_text_only,"Контекст A полностью охватывает процесс добавления блоков действий в сценарий рассылки, включая описание кнопки 'Добавить блок'. Контекст B содержит ту же информацию, но также включает нерелевантный раздел о запуске и остановке рассылок, что снижает его полезность.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\gpt-4o-mini\Q003_1.json
Q003,2,gpt-4o-mini,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,A,stable_text_only,"Кандидат A содержит информацию о добавлении блоков действий в сценарий рассылки, что непосредственно отвечает на запрос. Кандидат B, хотя и содержит ту же информацию, добавляет ненужные детали о запуске и остановке рассылок, что отвлекает от основной темы.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\gpt-4o-mini\Q003_2.json
Q003,3,gpt-4o-mini,добавление действий в блоки рассылки,pairwise,1,SALVAGED_FROM_ERROR,,,,,,,,,,,,,,"Оба контекста содержат одинаковую информацию о настройке сценария рассылки и добавлении блоков действий. Однако ни один из них не предоставляет дополнительной информации, которая могла бы лучше ответить на запрос.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\gpt-4o-mini\Q003_3.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Candidate B directly addresses the query about macros in the newsletter constructor by explaining what macros are, providing specific examples (customer_name, customer_discount), and describing how they are used for personalization. Candidate A discusses action blocks and message sending but contains no information about macros.",artifacts\judge_outputs\ablation_pairs\baseline_vs_text_only\claude-haiku-4-5-20251001\Q007_1.json
