qid,replica,model,query,mode,parse_ok,parse_error,winner_letter,winner_method,confidence,failure_letters,ranking_letters,ranking_methods,overall_A,overall_B,overall_C,overall_D,overall_E,decision_letter,decision_method,reason,source_file
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Context B directly addresses the query about adding actions to mailing blocks by explaining that the constructor has an 'Add block' button used to add action blocks to mailings, and describes how action blocks are structured within the mailing scenario. Context A only discusses ordering messages within a block, which is not about adding actions to blocks.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\claude-haiku-4-5-20251001\Q003_1.json
Q003,2,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Candidate B directly addresses the query about adding actions to mailing blocks by explaining that blocks of actions are added to mailings using the 'Add block' button and describing how they are connected. Candidate A only discusses ordering messages within a block, which is not relevant to adding actions to blocks.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\claude-haiku-4-5-20251001\Q003_2.json
Q003,3,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Context B directly addresses adding action blocks to mailings by explaining the scenario constructor, the 'Add block' button for adding action blocks, and how blocks are connected. Context A only discusses ordering messages within a single block, which is unrelated to the query about adding actions to mailing blocks.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\claude-haiku-4-5-20251001\Q003_3.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Кандидат B описывает структуру сценария рассылки, включая блоки действий, и как их добавлять. Кандидат A описывает упорядочивание сообщений внутри блока, что не относится к добавлению действий в блоки рассылки.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\gemini-2.5-flash-lite\Q003_1.json
Q003,2,gemini-2.5-flash-lite,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Кандидат B описывает структуру сценария рассылки, включая блоки действий, и как их добавлять. Кандидат A описывает упорядочивание сообщений внутри блока, что менее релевантно запросу о добавлении действий в блоки.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\gemini-2.5-flash-lite\Q003_2.json
Q003,3,gemini-2.5-flash-lite,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Кандидат B описывает структуру сценария рассылки, включая блоки действий, и как их добавлять. Кандидат A описывает упорядочивание сообщений внутри блока, что менее релевантно запросу о добавлении действий в блоки.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\gemini-2.5-flash-lite\Q003_3.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Кандидат B содержит информацию о добавлении блоков действий в сценарий рассылки, что непосредственно связано с запросом пользователя. Кандидат A не предоставляет информации о добавлении действий в блоки рассылки.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\gpt-4o-mini\Q003_1.json
Q003,2,gpt-4o-mini,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Кандидат B предоставляет информацию о добавлении блоков действий в сценарий рассылки, что непосредственно связано с запросом. Кандидат A обсуждает упорядочивание сообщений, что не соответствует теме добавления действий.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\gpt-4o-mini\Q003_2.json
Q003,3,gpt-4o-mini,добавление действий в блоки рассылки,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Кандидат B содержит информацию о добавлении блоков действий в сценарий рассылки, что непосредственно связано с запросом пользователя. Кандидат A не предоставляет информации о добавлении действий, а только о порядке сообщений.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\gpt-4o-mini\Q003_3.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,pairwise,1,,,,,,,,,,,,,B,stable_baseline,"Candidate B directly addresses the query about macros in the mailing constructor by explaining what macros are, providing specific examples (customer_name, customer_discount), and describing how they are used for personalization. Candidate A discusses action blocks and message sending but contains no information about macros.",artifacts\judge_outputs\ablation_pairs\baseline_vs_no_dist\claude-haiku-4-5-20251001\Q007_1.json
