qid,query,n_runs,top_decision_method,top_decision_count,top_decision_share,decisions_breakdown
Q001,,0,,0,1.0,__SKIPPED_IDENTICAL__:1
Q002,,0,,0,1.0,__SKIPPED_IDENTICAL__:1
Q003,добавление действий в блоки рассылки,9,stable_baseline,9,1.0,stable_baseline:9
Q004,,0,,0,1.0,__SKIPPED_IDENTICAL__:1
Q005,,0,,0,1.0,__SKIPPED_IDENTICAL__:1
Q006,,0,,0,1.0,__SKIPPED_IDENTICAL__:1
Q007,макросы в конструкторе рассылок,9,stable_baseline,9,1.0,stable_baseline:9
Q008,,0,,0,1.0,__SKIPPED_IDENTICAL__:1
Q009,ход исполнения рассылок,9,stable_baseline,9,1.0,stable_baseline:9
Q010,создание и настройки виджета,9,stable_baseline,9,1.0,stable_baseline:9
