qid,replica,model,query,letter,method,parse_ok,parse_error,is_failure_letter,relevance,answerability,noise,overall,rationale,source_file
Q001,1,claude-haiku-4-5-20251001,редактирование существующего события,A,ontology_stable_baseline,1,,0,5,5,0,5,"Directly addresses the query with comprehensive information about editing existing events, including permissions, restrictions, and limitations based on campaign status and macro usage.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q001_1.json
Q001,1,claude-haiku-4-5-20251001,редактирование существующего события,B,bm25_heuristic,1,,0,4,3,2,3,"Contains relevant information about event editing restrictions but is incomplete, missing the introductory context and details about what editing is allowed. Includes irrelevant content about landing pages.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q001_1.json
Q001,1,claude-haiku-4-5-20251001,редактирование существующего события,C,bm25,1,,0,4,3,3,2,Relevant topic but heavily repetitive with duplicate headers and chunk separators. Contains the same key information as A but fragmented and harder to extract a complete answer.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q001_1.json
Q001,1,claude-haiku-4-5-20251001,редактирование существующего события,D,classic_dense,1,,0,2,1,4,1,"Mentions 'Редактирование событий' as a header but provides minimal substantive content about editing; mostly discusses event generation and usage, which is off-topic.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q001_1.json
Q001,1,claude-haiku-4-5-20251001,редактирование существующего события,E,classic_dense_heuristic,1,,0,1,0,5,0,"Focuses on editing campaign scenarios during active campaigns, not on editing events themselves. Completely misaligned with the query about event editing.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q001_1.json
Q001,1,gemini-2.5-flash-lite,редактирование существующего события,A,ontology_stable_baseline,1,,0,5,5,0,5,"Контекст напрямую отвечает на запрос, описывая процесс редактирования событий и ограничения, связанные с рассылками и аргументами.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q001_1.json
Q001,1,gemini-2.5-flash-lite,редактирование существующего события,B,bm25_heuristic,1,,0,4,3,2,3,"Контекст частично релевантен, так как содержит информацию об ограничениях редактирования событий, но также включает несвязанный текст о посадочных страницах.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q001_1.json
Q001,1,gemini-2.5-flash-lite,редактирование существующего события,C,bm25,1,,0,4,3,3,3,"Контекст содержит релевантную информацию об редактировании событий, но также включает много повторений и несвязанных тем, таких как редактирование сценария рассылки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q001_1.json
Q001,1,gemini-2.5-flash-lite,редактирование существующего события,D,classic_dense,1,,0,1,0,5,0,"Контекст в основном содержит заголовки и фразы, связанные с созданием событий, но не с их редактированием, что делает его малополезным.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q001_1.json
Q001,1,gemini-2.5-flash-lite,редактирование существующего события,E,classic_dense_heuristic,1,,0,2,1,4,1,"Контекст описывает редактирование сценария рассылки, а не событий, и содержит информацию о применении изменений, что косвенно связано с запросом, но не является прямым ответом.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q001_1.json
