qid,replica,model,query,mode,parse_ok,parse_error,winner_letter,winner_method,confidence,failure_letters,ranking_letters,ranking_methods,overall_A,overall_B,overall_C,overall_D,overall_E,decision_letter,decision_method,reason,source_file
Q001,1,claude-haiku-4-5-20251001,редактирование существующего события,fiveway,1,,A,ontology_stable_baseline,5,,"A,B,C,D,E","ontology_stable_baseline,bm25_heuristic,bm25,classic_dense,classic_dense_heuristic",5,3,2,1,0,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q001_1.json
Q001,1,gemini-2.5-flash-lite,редактирование существующего события,fiveway,1,,A,ontology_stable_baseline,5,,"A,B,C,E,D","ontology_stable_baseline,bm25_heuristic,bm25,classic_dense_heuristic,classic_dense",5,3,3,0,1,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q001_1.json
Q001,1,gpt-4o-mini,редактирование существующего события,fiveway,1,,A,ontology_stable_baseline,5,"D,E","A,B,C,D,E","ontology_stable_baseline,bm25_heuristic,bm25,classic_dense,classic_dense_heuristic",5,3,3,0,0,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q001_1.json
Q002,1,claude-haiku-4-5-20251001,связи между блоками рассылки,fiveway,1,,C,bm25_heuristic,5,,"C,A,E,B,D","bm25_heuristic,bm25,classic_dense_heuristic,ontology_stable_baseline,classic_dense",2,0,5,0,1,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q002_1.json
Q002,1,gemini-2.5-flash-lite,связи между блоками рассылки,fiveway,1,,C,bm25_heuristic,5,,"C,A,E,B,D","bm25_heuristic,bm25,classic_dense_heuristic,ontology_stable_baseline,classic_dense",3,0,5,0,2,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q002_1.json
Q002,1,gpt-4o-mini,связи между блоками рассылки,fiveway,1,,,,4,"B,D","A,C,E,B,D","bm25,bm25_heuristic,classic_dense_heuristic,ontology_stable_baseline,classic_dense",3,0,3,0,3,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q002_1.json
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,fiveway,1,,E,ontology_stable_baseline,4,,"E,D,C,B,A","ontology_stable_baseline,bm25_heuristic,classic_dense_heuristic,classic_dense,bm25",1,2,2,3,4,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q003_1.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,fiveway,1,,,,3,,"D,E,A,C,B","bm25_heuristic,ontology_stable_baseline,bm25,classic_dense_heuristic,classic_dense",2,1,2,3,3,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q003_1.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,fiveway,1,,E,ontology_stable_baseline,4,,"E,D,C,B,A","ontology_stable_baseline,bm25_heuristic,classic_dense_heuristic,classic_dense,bm25",1,2,3,4,5,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q003_1.json
Q004,1,claude-haiku-4-5-20251001,добавление и редактирование медиа групп,fiveway,1,,B,classic_dense_heuristic,4,,"B,D,E,A,C","classic_dense_heuristic,bm25,classic_dense,ontology_stable_baseline,bm25_heuristic",0,3,0,1,1,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q004_1.json
