qid,replica,model,query,mode,parse_ok,parse_error,winner_letter,winner_method,confidence,failure_letters,ranking_letters,ranking_methods,overall_A,overall_B,overall_C,overall_D,overall_E,decision_letter,decision_method,reason,source_file
Q001,1,claude-haiku-4-5-20251001,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Candidate A directly addresses the query about editing existing events, providing specific information about what can and cannot be edited depending on various conditions (whether mailings are configured, launched, etc.). Candidate B discusses event audit and search functionality, which is unrelated to the editing of existing events.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\claude-haiku-4-5-20251001\Q001_1.json
Q001,2,claude-haiku-4-5-20251001,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Candidate A directly addresses the query about editing existing events, providing specific information about what can and cannot be edited depending on various conditions (whether mailings are configured, launched, etc.). Candidate B discusses event audit and search functionality, which is unrelated to the editing process itself.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\claude-haiku-4-5-20251001\Q001_2.json
Q001,3,claude-haiku-4-5-20251001,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Candidate A directly addresses the query about editing existing events, providing specific information about what can and cannot be edited under various conditions. Candidate B discusses event audit and search functionality, which is unrelated to the editing process itself.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\claude-haiku-4-5-20251001\Q001_3.json
Q001,1,gemini-2.5-flash-lite,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Кандидат А напрямую описывает процесс редактирования существующих событий, включая ограничения и условия, при которых редактирование возможно или запрещено. Кандидат B описывает аудит вызовов событий и поиск по их характеристикам, что не относится к редактированию.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\gemini-2.5-flash-lite\Q001_1.json
Q001,2,gemini-2.5-flash-lite,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Кандидат А напрямую описывает процесс редактирования существующих событий, включая ограничения и правила. Кандидат Б описывает аудит вызовов событий и поиск по их характеристикам, что не относится к редактированию.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\gemini-2.5-flash-lite\Q001_2.json
Q001,3,gemini-2.5-flash-lite,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Кандидат А напрямую отвечает на запрос пользователя, описывая процесс редактирования существующих событий и ограничения, связанные с этим процессом. Кандидат Б описывает аудит вызовов событий и поиск событий, что не относится к редактированию.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\gemini-2.5-flash-lite\Q001_3.json
Q001,1,gpt-4o-mini,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Контекст A непосредственно касается редактирования событий, описывая, какие поля могут быть изменены и при каких условиях. Контекст B не содержит информации о редактировании событий и сосредоточен на аудите вызовов, что не соответствует запросу.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\gpt-4o-mini\Q001_1.json
Q001,2,gpt-4o-mini,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Контекст A предоставляет конкретную информацию о редактировании существующих событий, включая условия и ограничения, что непосредственно отвечает на запрос. Контекст B не содержит информации о редактировании событий и сосредоточен на аудите вызовов, что не соответствует запросу.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\gpt-4o-mini\Q001_2.json
Q001,3,gpt-4o-mini,редактирование существующего события,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Контекст A предоставляет конкретную информацию о редактировании существующих событий, включая условия и ограничения, что непосредственно соответствует запросу. Контекст B не содержит информации о редактировании событий и фокусируется на аудите вызовов, что не отвечает на запрос.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\gpt-4o-mini\Q001_3.json
Q002,1,claude-haiku-4-5-20251001,связи между блоками рассылки,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Context A contains information about message blocks and their organization, which relates to the structure of mailing blocks. Context B only provides a section header about launching, restarting, and stopping mailings without any actual content, making it unable to support answering the query about connections between mailing blocks.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\claude-haiku-4-5-20251001\Q002_1.json
Q002,2,claude-haiku-4-5-20251001,связи между блоками рассылки,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Context A contains relevant information about organizing messages within a block (блоке), which directly relates to the query about connections/relationships between mailing blocks. Context B only provides a title about launching and stopping mailings without any substantive content about block relationships.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\claude-haiku-4-5-20251001\Q002_2.json
Q002,3,claude-haiku-4-5-20251001,связи между блоками рассылки,pairwise,1,,,,,,,,,,,,,A,stable_baseline,"Candidate A provides actual content related to blocks (блоков) and messaging organization, which is directly relevant to the query about connections/relationships between mailing blocks. Candidate B contains only a header about launching/restarting/stopping mailings with no substantive content, making it unable to support answering the query.",artifacts\judge_outputs\ablation_pairs\baseline_vs_drill_narrow\claude-haiku-4-5-20251001\Q002_3.json
